X1,X2,Y
2,33,1
58,14,0
77,43,0
88,46,0
17,27,1
67,90,0
39,60,1
34,60,1
59,18,0
17,37,1
4,79,1
40,85,1
98,52,0
25,76,1
20,10,1
36,37,1
90,30,0
8,84,1
83,89,0
17,68,1
45,87,1
64,9,0
11,14,1
21,2,1
85,73,0
2,60,1
34,97,1
40,2,1
9,13,1
46,84,1
55,0,0
80,86,0
43,53,1
85,7,0
41,7,1
91,63,0
41,85,1
35,47,1
29,21,1
86,48,0
14,57,1
40,6,1
90,55,0
23,44,1
69,60,0
16,54,1
77,71,0
23,4,1
82,13,0
97,93,0
55,40,0
17,25,1
40,13,1
29,18,1
97,78,0
39,3,1
43,74,1
53,76,0
35,32,1
5,77,1
72,29,0
3,54,1
93,84,0
62,86,0
22,59,1
7,96,1
40,53,1
69,39,0
31,91,1
29,71,1
0,37,1
93,21,0
10,38,1
19,54,1
94,32,0
62,44,0
73,78,0
52,95,0
78,52,0
83,34,0
100,97,0
38,46,1
94,35,0
33,8,1
89,10,0
95,91,0
39,2,1
24,93,1
63,22,0
45,99,1
37,53,1
57,73,0
71,31,0
73,42,0
98,67,0
66,41,0
41,38,1
98,37,0
57,53,0
98,37,0
24,52,1
