X1,X2,Y
92,48,0
54,27,1
76,89,0
4,48,0
55,48,1
92,60,0
34,40,1
11,66,0
17,64,0
41,58,1
19,22,0
91,16,0
7,67,0
47,3,0
100,52,0
26,84,0
85,7,0
75,65,0
97,61,0
60,40,1
2,79,0
74,12,0
43,4,0
87,15,0
1,81,0
29,48,1
39,92,0
93,11,0
91,0,0
21,49,0
8,54,0
54,27,1
78,38,0
20,28,0
94,87,0
71,65,1
83,97,0
98,64,0
51,37,1
1,31,0
63,1,0
65,5,0
90,3,0
10,29,0
75,91,0
97,86,0
60,33,1
67,6,0
73,92,0
17,54,0
74,85,0
56,6,0
87,67,0
10,51,0
9,80,0
7,37,0
52,91,0
28,71,1
31,27,1
87,67,0
70,8,0
45,14,0
53,98,0
15,54,0
52,98,0
60,38,1
14,58,0
75,48,0
79,47,0
97,0,0
4,98,0
36,2,0
25,63,0
22,67,0
44,19,0
70,92,0
27,100,0
76,91,0
85,72,0
93,72,0
74,97,0
36,15,0
80,76,0
10,83,0
60,38,1
86,29,0
33,94,0
25,51,0
96,99,0
29,7,0
44,71,1
100,57,0
16,14,0
77,15,0
92,80,0
75,11,0
5,51,0
18,2,0
63,4,0
69,75,0
71,20,0
